domain,topic,subtopic,difficulty,source_text
ml,Linear Regression,Assumptions,easy,What are the key assumptions of ordinary least squares linear regression?
ml,Linear Regression,Assumptions,medium,What happens to your coefficient estimates and their interpretation if the homoscedasticity assumption is violated?
ml,Linear Regression,Multicollinearity,medium,"How does multicollinearity affect linear regression coefficients, and how would you detect it?"
ml,Linear Regression,Multicollinearity,medium,What is VIF (Variance Inflation Factor) and what threshold would make you worry about a feature?
ml,Linear Regression,Cost function,easy,Derive the closed-form (normal equation) solution for linear regression weights.
ml,Linear Regression,Cost function,medium,"Why is Mean Squared Error used as the loss function in OLS, and what probabilistic assumption justifies it?"
ml,Linear Regression,Diagnostics,medium,How would you use residual plots to diagnose problems with a linear regression model?
ml,Linear Regression,Outliers,medium,"How do outliers affect a linear regression fit, and what's the difference between leverage and influence?"
ml,Linear Regression,Polynomial regression,medium,"How does polynomial regression relate to linear regression, and what risk does increasing polynomial degree introduce?"
ml,Linear Regression,R-squared,easy,"What does R-squared measure, and why can it be misleading when comparing models with different numbers of features?"
ml,Logistic Regression,Fundamentals,easy,Why can't we use linear regression directly for a binary classification problem?
ml,Logistic Regression,Fundamentals,easy,Explain the sigmoid function and why it's used in logistic regression.
ml,Logistic Regression,Loss function,medium,Derive the log-loss (cross-entropy) cost function for logistic regression from maximum likelihood estimation.
ml,Logistic Regression,Odds & interpretation,medium,How do you interpret a logistic regression coefficient in terms of odds ratio?
ml,Logistic Regression,Decision boundary,medium,"Why is the decision boundary of logistic regression always linear, and how can you make it non-linear?"
ml,Logistic Regression,Multiclass,medium,Explain the difference between One-vs-Rest and Softmax (multinomial) approaches for multiclass logistic regression.
ml,Logistic Regression,Regularization,medium,How does L1 vs L2 regularization affect logistic regression coefficients differently?
ml,Logistic Regression,Threshold,easy,How does changing the classification threshold from 0.5 affect precision and recall?
ml,Logistic Regression,Class imbalance,medium,How would you handle a severely imbalanced dataset when training a logistic regression classifier?
ml,Logistic Regression,Assumptions,medium,What assumption does logistic regression make about the relationship between features and the log-odds of the outcome?
ml,Decision Trees,Splitting criteria,easy,Explain Gini impurity and entropy as splitting criteria for decision trees. When would they give different splits?
ml,Decision Trees,Splitting criteria,medium,Derive information gain and explain why it's used to choose the best feature to split on.
ml,Decision Trees,Overfitting,medium,"Why are decision trees prone to overfitting, and what techniques can control this?"
